"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"SLC25A33" 0.353775423252004 -1.23934165921037 2.98699111430421 -0.414913071979145 0.678205540095105 NA
"TMEM201" 0.211266128381137 -0.205380706241761 2.99615008178539 -0.0685482037399728 0.945349249249608 NA
"PIK3CD" 0.423818056698461 -0.792105449339859 2.38706797587098 -0.331831961781834 0.740016148424355 NA
"CLSTN1" 2.93292534398614 2.7437497621616 0.680951859649504 4.02928595212861 5.59465309619552e-05 0.000776058308057978
"CTNNBIP1" 0.62212377907845 0.298773312269246 1.72391626694565 0.173310802849257 0.862407132739487 NA
"LZIC" 1.71652920845109 0.339655453476354 0.754755317018746 0.450020617036498 0.652695574649715 0.800096704015785
"NMNAT1" 0.179229840152904 0.0321954081259715 2.99640514272461 0.0107446779031678 0.991427152343747 NA
"RBP7" 0.359433103545735 -1.40857984396608 2.98991954651974 -0.471109614171949 0.637562459845656 NA
"UBE4B" 2.17497816795008 -0.318554015793991 0.706112627148492 -0.451137684763426 0.651890318640751 0.799897429739051
"KIF1B" 3.92437016757219 0.347438666869539 0.430746254327118 0.806597070501017 0.419898662078638 0.626395776076843
"PGD" 1.34956433859706 -0.32496349897921 0.998799348169729 -0.325354136018106 0.744913062937551 NA
"CENPS-CORT" 0.063891003132676 -0.402165113184012 2.99996487050121 -0.134056607508481 0.893357812035635 NA
"CENPS" 0 NA NA NA NA NA
"CORT" 0 NA NA NA NA NA
"DFFA" 1.33612134623884 0.760286663934071 1.02229362454493 0.743706744989735 0.457053907967587 NA
"PEX14" 0.323570048140698 -0.433207905353783 2.99002442057391 -0.144884403743643 0.884802140507873 NA
"CASZ1" 1.39204413227164 1.89803738952741 0.996500272963881 1.90470333127165 0.0568186457352615 NA
"C1orf127" 0 NA NA NA NA NA
"TARDBP" 1.37024119185406 -0.764945220134542 0.925445475610543 -0.826569733489577 0.408480978198579 NA
"MASP2" 0.0699249061281944 -1.14506528429442 3.00073872345593 -0.381594463837777 0.702762191266986 NA
"SRM" 0.477883966108895 0.0626760945859716 2.36052760508913 0.0265517312531514 0.978817272550583 NA
"EXOSC10" 0.95146260495224 0.782070643647837 1.24645345831748 0.627436699243878 0.530373017677854 NA
"MTOR" 2.62853568318839 0.0665278439484045 0.546880405643433 0.121649712189141 0.903176441190698 0.949802517396572
"ANGPTL7" 0.0847493822083751 -0.741172792948141 3.0015614708177 -0.246929073468626 0.804963115517176 NA
"UBIAD1" 0.40881038651708 0.461562424092788 2.20157589109951 0.209650925938453 0.833940129650129 NA
"DISP3" 0.069481252385147 -0.241035085638527 3.00271745553526 -0.0802723163960029 0.936020675461104 NA
"FBXO2" 0.103614947819813 -0.698470540281079 3.00030122358486 -0.232800138462938 0.815916605400284 NA
"FBXO44" 0.114052710404745 -0.49501422037148 3.00197167837029 -0.164896365924482 0.869025552817841 NA
"MAD2L2" 0.181553033874806 -0.458843924656562 2.99724568774399 -0.153088526086739 0.878328464076967 NA
"FBXO6" 0.0855169543220857 -0.496392973041881 3.00139895357459 -0.165387201341791 0.868639226804989 NA
"DRAXIN" 0 NA NA NA NA NA
